# ----------------------------------------,,,,,,,,
# 20160801-20160802,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/pages/scan.html?dealerCode=a37121,2016080210,1,1,0:25:45,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11740,2016080216,2,1,0:23:21,1,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=11360,2016080217,2,2,0:22:27,2,50.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=81400,2016080210,2,1,0:19:35,1,0.00%,50.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=50800,2016080115,5,2,0:15:23,1,0.00%,40.00%,US$0.00 
/point/pages/scan.html?dealerCode=11860,2016080209,1,1,0:13:58,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20240,2016080211,1,1,0:13:45,1,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=20140,2016080111,1,1,0:10:02,1,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=10310,2016080111,4,1,0:08:41,1,0.00%,25.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=10810,2016080108,3,1,0:08:33,0,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=20090,2016080117,4,2,0:07:57,2,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=51300,2016080215,3,1,0:07:44,1,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=21790,2016080116,6,2,0:07:41,1,100.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=10540,2016080210,3,1,0:07:33,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11860,2016080210,1,0,0:07:31,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30730,2016080210,9,6,0:07:23,5,40.00%,33.33%,US$0.00 
/point/point/pages/scan.html?dealerCode=30320,2016080115,1,1,0:07:20,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080215,8,3,0:06:56,3,0.00%,25.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=21580,2016080113,5,4,0:06:51,1,0.00%,60.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=51300,2016080115,5,3,0:06:49,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21210,2016080210,3,2,0:06:46,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=50510,2016080210,8,2,0:06:33,2,0.00%,25.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=10080,2016080110,5,1,0:06:16,1,0.00%,20.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=20490,2016080119,6,2,0:06:16,1,100.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=A21575,2016080213,2,1,0:06:14,1,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=20730,2016080116,1,1,0:06:09,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=51630,2016080214,5,1,0:06:06,1,0.00%,20.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=21560,2016080109,1,1,0:05:46,1,0.00%,0.00%,US$0.00 
/point/point/pages/scan.html?dealerCode=20220,2016080108,9,6,0:05:45,5,0.00%,11.11%,US$0.00 
/point/pages/scan.html?dealerCode=10390,2016080210,4,2,0:05:42,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=50490,2016080216,2,1,0:05:42,1,0.00%,50.00%,US$0.00 
