# 20160802-20160809,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
30520,2016080310,148,73,0:01:03,69,23.19%,30.41%,US$0.00 
21260,2016080417,119,76,0:00:22,62,17.74%,20.17%,US$0.00 
21260,2016080414,114,68,0:00:52,56,17.86%,15.79%,US$0.00 
21610,2016080211,110,69,0:00:28,59,22.03%,30.91%,US$0.00 
11340,2016080211,100,60,0:00:31,51,9.80%,23.00%,US$0.00 
21260,2016080415,99,57,0:00:11,47,21.28%,20.20%,US$0.00 
11080,2016080211,98,60,0:01:07,42,16.67%,26.53%,US$0.00 
21260,2016080416,91,55,0:00:32,47,14.89%,20.88%,US$0.00 
21240,2016080617,83,52,0:00:08,46,13.04%,30.12%,US$0.00 
21610,2016080212,83,61,0:00:16,49,12.24%,20.48%,US$0.00 
50290,2016080709,81,8,0:00:18,8,37.50%,11.11%,US$0.00 
50350,2016080214,76,31,0:00:42,21,4.76%,14.47%,US$0.00 
21610,2016080213,73,42,0:00:15,38,15.79%,27.40%,US$0.00 
50350,2016080309,73,25,0:02:17,20,15.00%,15.07%,US$0.00 
10220,2016080216,69,32,0:00:18,27,7.41%,20.29%,US$0.00 
30520,2016080315,69,11,0:01:02,11,18.18%,8.70%,US$0.00 
/point/pages/scan.html?dealerCode=10940,2016080216,68,42,0:01:05,36,19.44%,20.59%,US$0.00 
/point/pages/scan.html?dealerCode=11080,2016080708,67,2,0:00:09,2,0.00%,1.49%,US$0.00 
/point/pages/scan.html?dealerCode=11020,2016080211,64,41,0:00:33,35,8.57%,17.19%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080311,64,41,0:00:55,32,18.75%,23.44%,US$0.00 
/point/pages/scan.html?dealerCode=11080,2016080212,63,31,0:00:32,25,4.00%,25.40%,US$0.00 
/point/pages/scan.html?dealerCode=11340,2016080210,63,38,0:01:28,38,5.26%,19.05%,US$0.00 
/point/pages/scan.html?dealerCode=10890,2016080314,59,4,0:00:44,4,75.00%,5.08%,US$0.00 
/point/pages/scan.html?dealerCode=10220,2016080509,56,8,0:00:34,5,0.00%,5.36%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080312,54,32,0:00:26,27,18.52%,24.07%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080215,53,19,0:00:55,17,0.00%,7.55%,US$0.00 
/point/pages/scan.html?dealerCode=11350,2016080513,53,39,0:00:43,31,16.13%,24.53%,US$0.00 
/point/pages/scan.html?dealerCode=11360,2016080314,53,6,0:00:33,6,33.33%,9.43%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080609,49,16,0:01:41,12,0.00%,12.24%,US$0.00 
/point/pages/scan.html?dealerCode=51630,2016080609,48,6,0:01:49,6,0.00%,4.17%,US$0.00 
/point/pages/scan.html?dealerCode=21260,2016080418,47,26,0:00:23,23,21.74%,31.91%,US$0.00 
/point/pages/scan.html?dealerCode=21610,2016080210,44,29,0:00:23,28,14.29%,22.73%,US$0.00 
/point/pages/scan.html?dealerCode=21740,2016080816,44,25,0:00:34,20,15.00%,18.18%,US$0.00 
/point/pages/scan.html?dealerCode=31710,2016080316,44,6,0:01:39,6,16.67%,9.09%,US$0.00 
/point/pages/scan.html?dealerCode=11260,2016080213,43,30,0:01:05,28,3.57%,11.63%,US$0.00 
/point/pages/scan.html?dealerCode=30400,2016080517,43,18,0:00:15,17,5.88%,23.26%,US$0.00 
/point/pages/scan.html?dealerCode=11000,2016080310,42,18,0:02:45,16,25.00%,21.43%,US$0.00 
/point/pages/scan.html?dealerCode=11260,2016080214,42,25,0:00:57,21,14.29%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=21740,2016080513,41,23,0:00:19,18,11.11%,17.07%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080811,39,19,0:00:19,13,15.38%,28.21%,US$0.00 
/point/pages/scan.html?dealerCode=11020,2016080212,39,21,0:00:08,18,5.56%,17.95%,US$0.00 
/point/pages/scan.html?dealerCode=20300,2016080417,39,31,0:00:31,28,32.14%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=10880,2016080310,37,22,0:02:39,22,40.91%,40.54%,US$0.00 
/point/pages/scan.html?dealerCode=10230,2016080217,36,21,0:01:22,14,21.43%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=10230,2016080309,36,12,0:02:38,11,9.09%,27.78%,US$0.00 
/point/pages/scan.html?dealerCode=20320,2016080612,36,23,0:00:16,19,26.32%,30.56%,US$0.00 
/point/pages/scan.html?dealerCode=22230,2016080715,36,19,0:01:22,17,5.88%,13.89%,US$0.00 
/point/pages/scan.html?dealerCode=50290,2016080315,35,9,0:03:19,8,0.00%,14.29%,US$0.00 
