# 20160802-20160809,,,,,,,,
,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/pages/scan.html?dealerCode=10680,2016080910,3,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080516,3,3,0:00:06,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080713,3,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080909,10,7,0:00:06,5,20.00%,10.00%,US$0.00 
/point/pages/scan.html?dealerCode=10880,2016080911,4,4,0:00:06,4,25.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=10900,2016080509,3,3,0:00:06,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11000,2016080417,3,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11020,2016080216,3,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11310,2016080912,5,4,0:00:06,3,33.33%,40.00%,US$0.00 
/point/pages/scan.html?dealerCode=11360,2016080710,3,3,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11500,2016080414,3,3,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20030,2016080809,4,2,0:00:06,1,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=20330,2016080616,4,3,0:00:06,2,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=20530,2016080820,5,4,0:00:06,3,33.33%,40.00%,US$0.00 
/point/pages/scan.html?dealerCode=20590,2016080717,4,3,0:00:06,2,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=20880,2016080712,8,6,0:00:06,4,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=21740,2016080907,4,1,0:00:06,1,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=21890,2016080713,3,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=22060,2016080415,7,5,0:00:06,3,33.33%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=30230,2016080614,3,3,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30730,2016080615,6,5,0:00:06,4,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=31610,2016080411,3,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=51010,2016080709,4,3,0:00:06,2,50.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=51230,2016080712,3,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=51670,2016080909,3,3,0:00:06,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=80220,2016080309,5,3,0:00:06,3,0.00%,40.00%,US$0.00 
/point/pages/scan.html?dealerCode=80270,2016080809,3,3,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=80430,2016080614,3,3,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=80600,2016080611,4,2,0:00:06,1,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=81380,2016080414,5,2,0:00:06,2,0.00%,40.00%,US$0.00 
/point/pages/scan.html?dealerCode=10520,2016080411,6,1,0:00:06,1,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=20330,2016080713,5,4,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21260,2016080811,6,2,0:00:06,2,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080716,11,8,0:00:06,5,0.00%,9.09%,US$0.00 
/point/pages/scan.html?dealerCode=50250,2016080612,6,3,0:00:06,2,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=11240,2016080711,7,4,0:00:06,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=30400,2016080616,16,7,0:00:06,3,0.00%,12.50%,US$0.00 
/point/pages/scan.html?dealerCode=10010,2016080508,3,1,0:00:06,0,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080615,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080711,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080716,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10220,2016080810,2,1,0:00:06,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10220,2016080912,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10230,2016080220,11,9,0:00:06,8,25.00%,27.27%,US$0.00 
/point/pages/scan.html?dealerCode=10230,2016080614,6,5,0:00:06,5,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10290,2016080513,4,4,0:00:06,4,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10390,2016080414,4,2,0:00:06,2,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10500,2016080211,4,3,0:00:06,2,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10560,2016080312,7,2,0:00:06,2,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=10560,2016080817,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080808,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080818,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10880,2016080212,3,2,0:00:06,0,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=10880,2016080409,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10880,2016080812,4,2,0:00:06,2,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10920,2016080712,3,2,0:00:06,2,50.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=10940,2016080610,2,1,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11020,2016080919,3,2,0:00:06,2,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=11070,2016080815,2,2,0:00:06,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11100,2016080613,2,2,0:00:06,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11260,2016080612,3,2,0:00:06,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=11490,2016080710,5,2,0:00:06,1,0.00%,20.00%,US$0.00 
